Gene Start (bp),Gene End (bp),Chromosome Name,HGNC symbol,
3592880,3601975,12,,
30908008,30933672,12,,
47602203,47610226,12,,
58263619,58290267,12,,
62636214,62653509,12,,
70107413,70132348,12,,
74593353,74686402,12,,
89404903,89413469,12,,
92539861,92579560,12,,
93936240,93965544,12,,
97858799,97958793,12,RMST,
98879322,98897633,12,,
104424522,104426026,12,,
104852873,104862733,12,,
108827907,108909764,12,,
114188835,114211444,12,,
116971978,116973135,12,,
120925114,120933749,12,,
121633051,122226808,12,,
21941147,21968151,15,,
23187731,23208417,15,WHAMML1,
2244111,2245808,6,,
28982729,29024285,15,WHAMML2,
5892673,5986353,6,,
6695027,6700720,6,,
6725119,6730139,6,,
8435926,8712519,6,,
10743566,10747802,6,,
17501598,17511496,6,,
26569552,26574925,6,,
27661858,27676935,6,,
27729282,27731046,6,
29967194,29971367,15,
32862500,32871535,6,
30763457,30773643,15,
13054481,13057307,3,
30857143,30917976,15,
31685046,31696932,15,
33599094,33601413,6,
44482424,44486946,3,
112221562,112230481,6,
117993976,117996447,6,
32818481,32828671,15,
126698801,127440994,6,
32898619,32907361,15,
63263815,63266190,3,
75716700,75721122,3,
35047285,35105124,15,,
131148546,131158273,6,,
87138430,87147851,3,,
104241218,104331339,3,,
35838396,36151200,15,,
107149777,107182756,3,,
144324037,144329867,6,HYMAI,
37090798,37110707,15,,
109056665,109101875,3,,
166193757,166399984,6,,
128679210,128684200,3,,
166511208,166513125,6,,
38363831,38364884,15,,
171758836,171760763,3,,
166756132,166764957,6,,
40213243,40217099,15,,
40331512,40359491,15,
176908453,176912093,3,
187009011,187015708,3,
41199009,41201535,15,
41576203,41601901,15,
195351223,195356372,3,
42264961,42291247,15,
43029401,43034389,15,
50647664,50650501,15,
51132073,51200796,15,
52393790,52403225,15,
3616113,3622828,2,
55609382,55611243,15,
57592563,57599965,15,
16973247,16978722,2,
27505301,27526416,2,
57419954,57425788,2,
70016684,70026080,2,
59060273,59063173,15,
60771380,60823166,15,
73181268,73193366,2,
73511662,73518113,2,
85514761,85519567,2,
87749037,87758508,2,
97584843,97591573,2,
64663186,64667537,15,
101768122,101771872,2,
102578518,102603629,2,
66952560,66974114,15,
128317620,128322364,2,
67332912,67340583,15,
68126648,68131217,15,
157193084,157198632,2,,
172167776,172170351,2,,
178107103,178111509,2,,
69854059,69863779,15,,
70863298,70878945,15,,
74418714,74421619,15,,
74753606,74773606,15,,
76020011,76030964,15,,
77713044,77776947,15,,
82647354,82707815,15,UBE2Q2P2,
83419324,83425831,15,,
83626882,83654620,15,,
83876655,83896949,15,,
89128802,89147834,15,,
89904810,89941718,15,,
91203465,91208160,15,,
91413148,91579841,15,,
93855786,94098099,15,,
95822521,95870329,15,,
96812001,96870577,15,,
96902892,96907471,15,,
98285543,98417780,15,,
101390036,101404487,15,,
102062800,102068552,15,,
19858667,19941024,14,,
29252697,29254990,14,,
30637041,30766245,14,,
31889962,31922086,14,,
41423916,41445068,14,,
45552254,45553180,14,,
56024690,56046828,14,C14orf33,
57279901,57397548,14,,
61769749,61789536,14,,
62023038,62037371,14,,
62037256,62125389,14,,
71075515,71108015,14,,
73929129,73946655,14,,
77507407,77535846,14,,
81687562,81688799,14,,
95999256,96001209,14,SNHG10,
96342729,96391899,14,,
97925207,97930493,14,,
98391975,98444461,14,C14orf64,
100070893,100092074,14,,
103653562,103655365,14,,
104146166,104150352,14,,
105147483,105151268,14,,
105883918,105886076,14,,
1363502,1365634,1,
1535819,1545864,1,
16946910,16951432,1,
16973894,16975897,1,
23940283,23945957,1,
28835514,28837109,1,
44964642,44969005,1,
45769863,45771290,1,
54447917,54452234,1,
55681081,55683124,1,
89488180,89515726,1,
109965123,109968162,1,
118320271,118321523,1,
118406111,118411617,1,
146086591,146088636,1,
147628427,147630473,1,
150565059,150590027,1,
173204199,173446294,1,
179836662,179846917,1,
182806325,182808726,1,
195727482,195732530,1,
205685228,205719310,1,
3603736,3608312,18,
19746859,19748929,18,
22208146,22242162,18,
29992145,29993199,18,
36786888,37380282,18,
43914928,43917171,18,
53443958,53448952,18,
55471012,55474049,18,
65183783,65566853,18,
68047378,68243317,18,
70818476,70931715,18,
72259030,72265071,18,
74240612,74271783,18,
74327169,74337889,18,
77905807,77929616,18,
1046079,1048630,9,
2840592,2844073,9,
41952399,41955076,9,
66692393,66697441,9,
68408723,68414761,9,
68808991,68811672,9,
69875392,69880438,9,
70645650,70648248,9,
74381169,74383463,9,
86432881,86443087,9,
99883188,99893292,9,
103115360,103156151,9,
106842305,106854755,9,
118235807,118353358,9,
124053715,124057566,9,
125226304,125231465,9,
135894816,135896553,9,
138900082,138901544,9,
139006434,139010514,9,
139155771,139159083,9,
140118567,140122265,9,
140144671,140147949,9,
140503038,140506038,9,
2574352,2577029,17,
10286461,10527704,17,
14198829,14200917,17,
18573265,18576264,17,
29036657,29097067,17,SUZ12P,
29351203,29359585,17,,
30748305,30772564,17,,
33558469,33569346,17,,
34897582,34900678,17,,
43289616,43299132,17,,
18927009,18935205,22,,
19402955,19409368,22,,
23154489,23247204,22,,
43357852,43360435,17,,
45132467,45177627,17,,
45400564,45402367,17,,
46694460,46699890,17,,
43111862,43116852,22,,
53348865,53351014,17,,
46646274,46648542,22,,
56154494,56160565,17,
46999595,47003264,22,
50295451,50298224,22,
58042457,58074333,17,
60885861,60913730,17,
65871895,65881544,17,
70594180,70636611,17,
74136637,74150364,17,
74485424,74488575,17,
75524207,75532673,17,
77889984,77900524,17,
78940039,78945013,17,
79604197,79606203,17,
79885705,79888628,17,
80172103,80175228,17,
80200543,80203317,17,
80247922,80250690,17,,
80671788,80674131,17,,
86508135,86542466,16,,
1355571,1359414,16,,
3160462,3165599,16,,
3178837,3182043,16,,
4295826,4303790,16,,
11913694,11922689,16,BCAR4,
20685853,20693496,16,,
21601019,21610706,16,,
25078258,25080246,16,,
27280190,27283292,16,,
28814097,28829149,16,,
28897204,28936455,16,,
29756600,29761818,16,,
29938657,29940791,16,,
30107751,30116777,16,,
30538239,30541977,16,,
30546394,30548465,16,,
31052374,31054276,16,,
52586008,52640847,16,,
54952798,54962708,16,CRNDE,
56126899,56225006,16,,
58783542,59142878,16,,
66442427,66446038,16,,
66785655,66788643,16,,
70192860,70207351,16,,
71496181,71499844,16,,
75142499,75144610,16,,
75507023,75529305,16,,
76668895,76692375,16,,
81110924,81112455,16,,
85170756,85183039,16,
85319914,85337002,16,
86320033,86326993,16,
87091390,87097597,16,
88738213,88746008,16,
89112580,89119373,16,
89584045,89588625,16,
1004860,1006734,5,
14651755,14653492,5,
68927362,68952148,5,
108061406,108063994,5,
111857200,111868286,5,
115150892,115152356,5,
141227143,141231803,5,
146939557,147041572,5,
172720132,172721732,5,
176875053,176879142,5,
177433441,177446907,5,
178365678,178368084,5,
180256956,180258618,5,
7527347,7534658,10,
15211104,15221737,10,
18941165,18943952,10,
26853755,26855838,10,
64099347,64134886,10,
72370073,72428508,10,
85926988,85931832,10,
94178255,94180347,10,
103596053,103599032,10,
104209595,104216051,10,
104958490,105036751,10,
130084199,130115983,10,
131910186,131919006,10,,
573801,575885,11,,
3494803,3498281,11,,
45168194,45236289,11,,
67612673,67616144,11,,
67776911,67784501,11,,
68638132,68642010,11,,
68779899,68785913,11,,
111381325,111384610,11,,
126210853,126225482,11,,
130434325,130628495,11,,
106235439,106237742,14,IGHG3,
106303099,106312010,14,IGHD,
106320349,106322323,14,IGHM,
106329408,106329468,14,IGHJ6,
106329626,106329675,14,IGHJ3P,
106330024,106330072,14,IGHJ5,
106330425,106330470,14,IGHJ4,
106330797,106330845,14,IGHJ3,
106331003,106331062,14,IGHJ2P,
106331409,106331460,14,IGHJ2,
106331617,106331668,14,IGHJ1,
106331761,106331771,14,IGHD7-27,
106331834,106331888,14,IGHJ1P,
106346892,106346911,14,IGHD1-26,
106347397,106347414,14,IGHD6-25,
106349761,106349780,14,IGHD5-24,
106350728,106350746,14,IGHD4-23,
106351889,106351919,14,IGHD3-22,
106354409,106354436,14,IGHD2-21,
106357049,106357065,14,IGHD1-20,
